-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:51:57] | DIM| |0| |14| |     0| fibonacci                    |      | |  101162| |   0x3e4|
[2022-08-30 11:52:01] | DIM| |0| |14| |     0| hello-world                  |      | |   21411| |   0x420|
[2022-08-30 11:52:06] | DIM| |0| |14| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:52:18] | DIM| |0| |15| |     0| csr_instr_asm                |      | |    7420| |  0x611c|
[2022-08-30 11:52:23] | DIM| |0| |15| |     0| csr_instructions             |      | |   13586| |   0x388|
[2022-08-30 11:52:29] | DIM| |0| |15| |     0| dhrystone                    |      | |  308081| |   0xb04|
[2022-08-30 11:52:34] | DIM| |0| |15| |     0| fibonacci                    |      | |  100915| |   0x3e4|
[2022-08-30 11:52:39] | DIM| |0| |15| |     0| hello-world                  |      | |   21317| |   0x420|
[2022-08-30 11:52:43] | DIM| |0| |15| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:52:57] | DIM| |0| |16| |     0| csr_instr_asm                |      | |    7308| |  0x611c|
[2022-08-30 11:53:02] | DIM| |0| |16| |     0| csr_instructions             |      | |   13534| |   0x388|
[2022-08-30 11:53:09] | DIM| |0| |16| |     0| dhrystone                    |      | |  307770| |   0xb04|
[2022-08-30 11:53:14] | DIM| |0| |16| |     0| fibonacci                    |      | |   94400| |   0x3e4|
[2022-08-30 11:53:18] | DIM| |0| |16| |     0| hello-world                  |      | |   21258| |   0x420|
[2022-08-30 11:53:22] | DIM| |0| |16| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:53:33] | DIM| |0| |17| |     0| csr_instr_asm                |      | |    7214| |  0x611c|
[2022-08-30 11:53:38] | DIM| |0| |17| |     0| csr_instructions             |      | |   13496| |   0x388|
[2022-08-30 11:53:44] | DIM| |0| |17| |     0| dhrystone                    |      | |  307324| |   0xb04|
[2022-08-30 11:53:48] | DIM| |0| |17| |     0| fibonacci                    |      | |   94294| |   0x3e4|
[2022-08-30 11:53:53] | DIM| |0| |17| |     0| hello-world                  |      | |   21212| |   0x420|
[2022-08-30 11:53:57] | DIM| |0| |17| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:54:08] | DIM| |0| |18| |     0| csr_instr_asm                |      | |    7136| |  0x611c|
[2022-08-30 11:54:13] | DIM| |0| |18| |     0| csr_instructions             |      | |   13470| |   0x388|
[2022-08-30 11:54:18] | DIM| |0| |18| |     0| dhrystone                    |      | |  306746| |   0xb04|
[2022-08-30 11:54:23] | DIM| |0| |18| |     0| fibonacci                    |      | |   94083| |   0x3e4|
[2022-08-30 11:54:28] | DIM| |0| |18| |     0| hello-world                  |      | |   21163| |   0x420|
[2022-08-30 11:54:32] | DIM| |0| |18| |     0| load_store_rs1_zero          |      | |      67| |   0x160|
[2022-08-30 11:54:44] | DIM| |0| |19| |     0| csr_instr_asm                |      | |    7068| |  0x611c|
[2022-08-30 11:54:49] | DIM| |0| |19| |     0| csr_instructions             |      | |   13460| |   0x388|
[2022-08-30 11:54:54] | DIM| |0| |19| |     0| dhrystone                    |      | |  306450| |   0xb04|
[2022-08-30 11:54:58] | DIM| |0| |19| |     0| fibonacci                    |      | |   94032| |   0x3e4|
[2022-08-30 11:55:03] | DIM| |0| |19| |     0| hello-world                  |      | |   21144| |   0x420|
[2022-08-30 11:55:07] | DIM| |0| |19| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:55:19] | DIM| |0| |20| |     0| csr_instr_asm                |      | |    7008| |  0x611c|
[2022-08-30 11:55:24] | DIM| |0| |20| |     0| csr_instructions             |      | |   13460| |   0x388|
[2022-08-30 11:55:30] | DIM| |0| |20| |     0| dhrystone                    |      | |  306445| |   0xb04|
[2022-08-30 11:55:35] | DIM| |0| |20| |     0| fibonacci                    |      | |   94031| |   0x3e4|
[2022-08-30 11:55:39] | DIM| |0| |20| |     0| hello-world                  |      | |   21144| |   0x420|
[2022-08-30 11:55:43] | DIM| |0| |20| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:55:55] | DIM| |0| |21| |     0| csr_instr_asm                |      | |    6957| |  0x611c|
[2022-08-30 11:56:00] | DIM| |0| |21| |     0| csr_instructions             |      | |   13456| |   0x388|
[2022-08-30 11:56:05] | DIM| |0| |21| |     0| dhrystone                    |      | |  306324| |   0xb04|
